sample_id,term,normalized_term,predicted_domain,domain_score,second_domain,second_domain_score,score_margin,confidence,assignment_method,matched_keywords,reason,gold_domain,is_correct,notes
11,Police-recorded offences by offence category,police-recorded offences by offence category,"Crime, justice and safety",0.275299,Housing and construction,0.0,0.275299,medium,tfidf_and_keywords,police|offence,"Best profile: Crime, justice and safety; score=0.2753; margin=0.2753; keywords=police, offence","Crime, justice and safety",yes,
12,Safety copies and back up files,safety copies and back up files,"Crime, justice and safety",0.173748,Housing and construction,0.0,0.173748,medium,tfidf_and_keywords,safety,"Best profile: Crime, justice and safety; score=0.1737; margin=0.1737; keywords=safety","Science, technology and digital society",no,
13,Ever-partnered women who have experienced violence by an intimate partner and consequences of violence,ever-partnered women who have experienced violence by an intimate partner and consequences of violence,"Crime, justice and safety",0.130971,Housing and construction,0.0,0.130971,high,rule_override_and_tfidf,violence,"Best profile: Crime, justice and safety; score=0.1310; margin=0.1310; override_rules=violence; keywords=violence","Crime, justice and safety",yes,
14,Ever-partnered women who have experienced violence by an intimate partner by degree of urbanisation,ever-partnered women who have experienced violence by an intimate partner by degree of urbanisation,"Crime, justice and safety",0.111837,Housing and construction,0.0,0.111837,high,rule_override_and_tfidf,violence,"Best profile: Crime, justice and safety; score=0.1118; margin=0.1118; override_rules=violence; keywords=violence","Crime, justice and safety",yes,
15,Victims of trafficking in human beings by citizenship,victims of trafficking in human beings by citizenship,"Crime, justice and safety",0.0,Housing and construction,0.0,0.0,high,rule_override_and_tfidf,,"Best profile: Crime, justice and safety; score=0.0000; margin=0.0000; override_rules=victim","Crime, justice and safety",yes,
16,Life expectancy at birth,life expectancy at birth,Demography and population,0.664302,"Income, poverty and living conditions",0.047717,0.616584,high,rule_override_and_tfidf,birth|life expectancy,"Best profile: Demography and population; score=0.6643; margin=0.6166; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",Demography and population,yes,
17,Population structure by detailed age group,population structure by detailed age group,Demography and population,0.190728,Housing and construction,0.0,0.190728,medium,tfidf_and_keywords,population,Best profile: Demography and population; score=0.1907; margin=0.1907; keywords=population,Demography and population,yes,
18,Median age of residents by sex and country of birth,median age of residents by sex and country of birth,Demography and population,0.117075,Housing and construction,0.0,0.117075,medium,tfidf_and_keywords,birth,Best profile: Demography and population; score=0.1171; margin=0.1171; keywords=birth,Demography and population,yes,
19,Mean age of women at childbirth and at birth of first child,mean age of women at childbirth and at birth of first child,Demography and population,0.114876,Housing and construction,0.0,0.114876,medium,tfidf_and_keywords,birth,Best profile: Demography and population; score=0.1149; margin=0.1149; keywords=birth,Demography and population,yes,
20,Total expenditure on social protection per head of population. ECU/EUR,total expenditure on social protection per head of population. ecu/eur,Demography and population,0.105163,Economy and national accounts,0.098798,0.006365,low,tfidf_and_keywords,population,Best profile: Demography and population; score=0.1052; margin=0.0064; keywords=population,Demography and population,yes,
21,Gross domestic product at market prices,gross domestic product at market prices,Economy and national accounts,0.56661,Housing and construction,0.02926,0.53735,high,rule_override_and_tfidf,gross domestic product,Best profile: Economy and national accounts; score=0.5666; margin=0.5374; override_rules=gross domestic product; keywords=gross domestic product; strong_keywords=gross domestic product,Economy and national accounts,yes,
22,Inward FDI stocks in % of GDP,inward fdi stocks in % of gdp,Economy and national accounts,0.32596,Housing and construction,0.0,0.32596,high,rule_override_and_tfidf,gdp,Best profile: Economy and national accounts; score=0.3260; margin=0.3260; override_rules=GDP; keywords=gdp; strong_keywords=gdp,Economy and national accounts,yes,
23,Final consumption expenditure of households and NPISH volumes,final consumption expenditure of households and npish volumes,Economy and national accounts,0.103157,Energy,0.035513,0.067643,medium,tfidf_and_keywords,expenditure,Best profile: Economy and national accounts; score=0.1032; margin=0.0676; keywords=expenditure,Economy and national accounts,yes,
24,Gini coefficient of equivalised disposable income before social transfers pensions excluded from social transfers,gini coefficient of equivalised disposable income before social transfers pensions excluded from social transfers,Economy and national accounts,0.094194,"Income, poverty and living conditions",0.067927,0.026267,low,tfidf_and_keywords,income,Best profile: Economy and national accounts; score=0.0942; margin=0.0263; keywords=income,"Income, poverty and living conditions",no,
25,Nominal effective exchange rate – euro area trading partners,nominal effective exchange rate – euro area trading partners,Economy and national accounts,0.00516,Demography and population,0.012067,-0.006906,high,rule_override_and_tfidf,,Best profile: Economy and national accounts; score=0.0052; margin=-0.0069; override_rules=exchange rate,Economy and national accounts,yes,
26,Participation in non-formal education and training by degree of urbanisation,participation in non-formal education and training by degree of urbanisation,Education and training,0.295727,Labour market,0.024321,0.271406,high,rule_override_and_tfidf,education|training,"Best profile: Education and training; score=0.2957; margin=0.2714; override_rules=education, training; keywords=education, training",Education and training,yes,
27,Literacy,literacy,Education and training,0.28929,Housing and construction,0.0,0.28929,high,rule_override_and_tfidf,literacy,Best profile: Education and training; score=0.2893; margin=0.2893; override_rules=literacy; keywords=literacy,Education and training,yes,
28,Effect of the search for information on learning possibilities,effect of the search for information on learning possibilities,Education and training,0.108044,"Science, technology and digital society",0.052314,0.05573,medium,tfidf_and_keywords,learning,Best profile: Education and training; score=0.1080; margin=0.0557; keywords=learning,Education and training,yes,
29,Sources of information used for getting information on learning possibilities,sources of information used for getting information on learning possibilities,Education and training,0.102645,"Science, technology and digital society",0.071522,0.031123,low,tfidf_and_keywords,learning,Best profile: Education and training; score=0.1026; margin=0.0311; keywords=learning,Education and training,yes,
30,"Proportion of youth (20-24 years) having attained ISCED 3 level, male (%)","proportion of youth (20-24 years) having attained isced 3 level, male (%)",Education and training,0.090988,Housing and construction,0.0,0.090988,high,rule_override_and_tfidf,isced,Best profile: Education and training; score=0.0910; margin=0.0910; override_rules=ISCED; keywords=isced,Education and training,yes,
31,Energy removed from district networks by customers type of networks and efficiency of network,energy removed from district networks by customers type of networks and efficiency of network,Energy,0.174798,Housing and construction,0.0,0.174798,medium,tfidf_and_keywords,energy,Best profile: Energy; score=0.1748; margin=0.1748; keywords=energy,Energy,yes,
32,HICP - all items excluding energy,hicp - all items excluding energy,Energy,0.163967,Housing and construction,0.0,0.163967,medium,tfidf_and_keywords,energy,Best profile: Energy; score=0.1640; margin=0.1640; keywords=energy,Economy and national accounts,no,
33,HICP - all items excluding energy food alcohol and tobacco,hicp - all items excluding energy food alcohol and tobacco,Energy,0.136959,"Agriculture, forestry and fisheries",0.022479,0.11448,medium,tfidf_and_keywords,energy,Best profile: Energy; score=0.1370; margin=0.1145; keywords=energy,Economy and national accounts,no,
34,"Value added of manufacturing, water and electricity, as a share of total VA (%)","value added of manufacturing, water and electricity, as a share of total va (%)",Energy,0.129248,Economy and national accounts,0.118718,0.01053,high,rule_override_and_tfidf,electricity,Best profile: Energy; score=0.1292; margin=0.0105; override_rules=electricity; keywords=electricity,Energy,yes,
35,Investment and maintenance in oil pipeline infrastructure,investment and maintenance in oil pipeline infrastructure,Energy,0.113425,Economy and national accounts,0.099503,0.013921,low,tfidf_and_keywords,oil,Best profile: Energy; score=0.1134; margin=0.0139; keywords=oil,Energy,yes,
36,Aquaculture production by aquatic environment,aquaculture production by aquatic environment,Environment and climate,0.148935,"Business, industry and trade",0.113985,0.03495,low,tfidf_and_keywords,environment,Best profile: Environment and climate; score=0.1489; margin=0.0349; keywords=environment,"Agriculture, forestry and fisheries",no,
37,Management of waste,management of waste,Environment and climate,0.135728,Housing and construction,0.0,0.135728,high,rule_override_and_tfidf,waste,Best profile: Environment and climate; score=0.1357; margin=0.1357; override_rules=waste; keywords=waste,Environment and climate,yes,
38,Generation of waste by households,generation of waste by households,Environment and climate,0.12683,Energy,0.069154,0.057676,high,rule_override_and_tfidf,waste,Best profile: Environment and climate; score=0.1268; margin=0.0577; override_rules=waste; keywords=waste,Environment and climate,yes,
39,Treatment of municipal waste,treatment of municipal waste,Environment and climate,0.125513,Health,0.042804,0.08271,high,rule_override_and_tfidf,waste,Best profile: Environment and climate; score=0.1255; margin=0.0827; override_rules=waste; keywords=waste,Environment and climate,yes,
40,Premature deaths due to exposure to fine particulate matter PM2.5,premature deaths due to exposure to fine particulate matter pm2.5,Environment and climate,0.108087,Demography and population,0.02091,0.087177,medium,tfidf_and_keywords,particulate,Best profile: Environment and climate; score=0.1081; margin=0.0872; keywords=particulate,Environment and climate,yes,
41,Total general government revenue,total general government revenue,Government and public finance,0.387841,Housing and construction,0.0,0.387841,high,rule_override_and_tfidf,government|government revenue,"Best profile: Government and public finance; score=0.3878; margin=0.3878; override_rules=government; keywords=government, government revenue",Government and public finance,yes,
42,National civil servants in central public administration,national civil servants in central public administration,Government and public finance,0.244547,Economy and national accounts,0.036002,0.208545,medium,tfidf_and_keywords,public administration,Best profile: Government and public finance; score=0.2445; margin=0.2085; keywords=public administration,Government and public finance,yes,
43,Financial aid to students by education level - as % of total public expenditure,financial aid to students by education level - as % of total public expenditure,Government and public finance,0.198566,Education and training,0.131262,0.067304,high,rule_override_and_tfidf,public expenditure,Best profile: Government and public finance; score=0.1986; margin=0.0673; override_rules=public expenditure; keywords=public expenditure,Government and public finance,yes,
44,General government gross debt EDP concept consolidated - annual data,general government gross debt edp concept consolidated - annual data,Government and public finance,0.151796,Economy and national accounts,0.017546,0.13425,high,rule_override_and_tfidf,government,Best profile: Government and public finance; score=0.1518; margin=0.1342; override_rules=government; keywords=government,Government and public finance,yes,
45,Government bond yields - 10 years' maturity,government bond yields - 10 years' maturity,Government and public finance,0.130651,Housing and construction,0.0,0.130651,high,rule_override_and_tfidf,government,"Best profile: Government and public finance; score=0.1307; margin=0.1307; override_rules=government, bond yield; keywords=government",Government and public finance,yes,
46,Consultation of a medical doctor in private practice or as outpatient per inhabitant – historical data,consultation of a medical doctor in private practice or as outpatient per inhabitant – historical data,Health,0.230559,Housing and construction,0.0,0.230559,high,rule_override_and_tfidf,doctor|medical,"Best profile: Health; score=0.2306; margin=0.2306; override_rules=medical doctor; keywords=doctor, medical",Health,yes,
47,Death due to AIDS HIV-disease by sex,death due to aids hiv-disease by sex,Health,0.149319,Demography and population,0.115491,0.033828,high,rule_override_and_tfidf,disease,"Best profile: Health; score=0.1493; margin=0.0338; override_rules=disease, death due to disease; keywords=disease",Health,yes,
48,Self-reported unmet needs for medical examination by sex age main reason declared and income quintile,self-reported unmet needs for medical examination by sex age main reason declared and income quintile,Health,0.12047,Economy and national accounts,0.093502,0.026968,low,tfidf_and_keywords,medical,Best profile: Health; score=0.1205; margin=0.0270; keywords=medical,Health,yes,
49,Self-reported unmet needs for medical examination due to financial reasons long waiting list or distance by NUTS regions - % of the persons having the same needs,self-reported unmet needs for medical examination due to financial reasons long waiting list or distance by nuts regions - % of the persons having the same needs,Health,0.112584,Housing and construction,0.0,0.112584,medium,tfidf_and_keywords,medical,Best profile: Health; score=0.1126; margin=0.1126; keywords=medical,Health,yes,
50,Beneficiaries of disability pensions by pension type,beneficiaries of disability pensions by pension type,Health,0.105065,Housing and construction,0.0,0.105065,medium,tfidf_and_keywords,disability,Best profile: Health; score=0.1051; margin=0.1051; keywords=disability,Health,yes,
51,Residential construction - annual data % of GDP,residential construction - annual data % of gdp,Housing and construction,0.327222,Economy and national accounts,0.326314,0.000908,high,rule_override_and_tfidf,construction|residential,"Best profile: Housing and construction; score=0.3272; margin=0.0009; override_rules=construction; keywords=construction, residential",Housing and construction,yes,
52,House price index - annual data,house price index - annual data,Housing and construction,0.229098,Economy and national accounts,0.220936,0.008162,high,rule_override_and_tfidf,house price,Best profile: Housing and construction; score=0.2291; margin=0.0082; override_rules=house price; keywords=house price,Housing and construction,yes,
53,Beds in nursing and other residential long-term care facilities,beds in nursing and other residential long-term care facilities,Housing and construction,0.146193,Health,0.04733,0.098863,medium,tfidf_and_keywords,residential,Best profile: Housing and construction; score=0.1462; margin=0.0989; keywords=residential,Health,no,
54,Occupied conventional dwellings by tenure status and amenities,occupied conventional dwellings by tenure status and amenities,Housing and construction,0.028509,Health,0.013288,0.015221,high,rule_override_and_tfidf,,Best profile: Housing and construction; score=0.0285; margin=0.0152; override_rules=dwelling,Housing and construction,yes,
55,Share of people living in under-occupied dwellings by tenure status - total population - EU-SILC survey,share of people living in under-occupied dwellings by tenure status - total population - eu-silc survey,Housing and construction,0.023083,Demography and population,0.103348,-0.080264,high,rule_override_and_tfidf,,Best profile: Housing and construction; score=0.0231; margin=-0.0803; override_rules=dwelling,Housing and construction,yes,
56,At-risk-of-poverty rate by sex,at-risk-of-poverty rate by sex,"Income, poverty and living conditions",0.764272,Demography and population,0.028266,0.736006,high,rule_override_and_tfidf,poverty|at risk of poverty,"Best profile: Income, poverty and living conditions; score=0.7643; margin=0.7360; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate","Income, poverty and living conditions",yes,
57,"At-risk-of poverty rate, male, rural, 0-17 (%)","at-risk-of poverty rate, male, rural, 0-17 (%)","Income, poverty and living conditions",0.700886,"Agriculture, forestry and fisheries",0.128526,0.57236,high,rule_override_and_tfidf,poverty|at risk of poverty,"Best profile: Income, poverty and living conditions; score=0.7009; margin=0.5724; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty, poverty rate","Income, poverty and living conditions",yes,
58,Income inequality for older people - EU-SILC survey,income inequality for older people - eu-silc survey,"Income, poverty and living conditions",0.496939,Economy and national accounts,0.100718,0.396221,high,rule_override_and_tfidf,income inequality,"Best profile: Income, poverty and living conditions; score=0.4969; margin=0.3962; override_rules=income inequality; keywords=income inequality; strong_keywords=income inequality","Income, poverty and living conditions",yes,
59,Relative at risk of poverty gap by poverty threshold - EU-SILC and ECHP surveys,relative at risk of poverty gap by poverty threshold - eu-silc and echp surveys,"Income, poverty and living conditions",0.448407,Housing and construction,0.0,0.448407,high,rule_override_and_tfidf,poverty|at risk of poverty,"Best profile: Income, poverty and living conditions; score=0.4484; margin=0.4484; override_rules=poverty; keywords=poverty, at risk of poverty; strong_keywords=at risk of poverty","Income, poverty and living conditions",yes,
60,Persons living with their parents or contributing/benefiting from the household income population aged 18 to 34 years,persons living with their parents or contributing/benefiting from the household income population aged 18 to 34 years,"Income, poverty and living conditions",0.198644,Demography and population,0.100493,0.098151,medium,tfidf_and_keywords,household income,"Best profile: Income, poverty and living conditions; score=0.1986; margin=0.0982; keywords=household income","Income, poverty and living conditions",yes,
61,"Unemployment rate by education level, male, ISCED 2 (%)","unemployment rate by education level, male, isced 2 (%)",Labour market,0.387675,Education and training,0.226134,0.161541,high,rule_override_and_tfidf,unemployment,Best profile: Labour market; score=0.3877; margin=0.1615; override_rules=unemployment; keywords=unemployment; strong_keywords=unemployment rate,Labour market,yes,
62,Employment rate of non-EU nationals age group 20-64,employment rate of non-eu nationals age group 20-64,Labour market,0.357612,Demography and population,0.012087,0.345525,high,rule_override_and_tfidf,employment,Best profile: Labour market; score=0.3576; margin=0.3455; override_rules=employment; keywords=employment; strong_keywords=employment rate,Labour market,yes,
63,Job vacancy rate,job vacancy rate,Labour market,0.268231,Demography and population,0.020221,0.248009,medium,tfidf_and_keywords,job|vacancy,"Best profile: Labour market; score=0.2682; margin=0.2480; keywords=job, vacancy",Labour market,yes,
64,Relative incidence rate of accidental injuries at work by occupation and NACE Rev. 1.1 activity EU mean rate = 100,relative incidence rate of accidental injuries at work by occupation and nace rev. 1.1 activity eu mean rate = 100,Labour market,0.117305,Demography and population,0.016227,0.101078,medium,tfidf_and_keywords,occupation,Best profile: Labour market; score=0.1173; margin=0.1011; keywords=occupation,Labour market,yes,
65,Employment expectations over the next 3 months - services,employment expectations over the next 3 months - services,Labour market,0.114273,Health,0.022348,0.091925,high,rule_override_and_tfidf,employment,Best profile: Labour market; score=0.1143; margin=0.0919; override_rules=employment; keywords=employment,Labour market,yes,
66,Corruption Perceptions Index,corruption perceptions index,Other or multidisciplinary,0.032246,Housing and construction,0.0,0.032246,low,low_similarity_fallback,,Best profile: Economy and national accounts; score=0.0322; margin=0.0322,Other or multidisciplinary,yes,
67,Common farmland bird index,common farmland bird index,Other or multidisciplinary,0.027652,Housing and construction,0.0,0.027652,low,low_similarity_fallback,,Best profile: Economy and national accounts; score=0.0277; margin=0.0277,Environment and climate,no,
68,Length of paved and unpaved roads,length of paved and unpaved roads,Other or multidisciplinary,0.0,Tourism,0.0,0.0,low,low_similarity_fallback,,Best profile: Housing and construction; score=0.0000; margin=0.0000,Transport and mobility,no,
69,Long-term residents by age sex and citizenship on 31 December of each year,long-term residents by age sex and citizenship on 31 december of each year,Other or multidisciplinary,0.0,Tourism,0.0,0.0,low,low_similarity_fallback,,Best profile: Housing and construction; score=0.0000; margin=0.0000,Demography and population,no,
70,Persons who receive a pension by type of pension %,persons who receive a pension by type of pension %,Other or multidisciplinary,0.0,Tourism,0.0,0.0,low,low_similarity_fallback,,Best profile: Housing and construction; score=0.0000; margin=0.0000,"Income, poverty and living conditions",no,
71,Low achieving 15-year-olds in reading mathematics or science by sex,low achieving 15-year-olds in reading mathematics or science by sex,"Science, technology and digital society",0.121854,"Income, poverty and living conditions",0.016746,0.105108,high,rule_override_and_tfidf,science,"Best profile: Science, technology and digital society; score=0.1219; margin=0.1051; override_rules=science; keywords=science",Education and training,no,
72,Individuals who have never used a computer,individuals who have never used a computer,"Science, technology and digital society",0.121216,Housing and construction,0.0,0.121216,medium,tfidf_and_keywords,computer,"Best profile: Science, technology and digital society; score=0.1212; margin=0.1212; keywords=computer","Science, technology and digital society",yes,
73,Income from intellectual property rights for computer services,income from intellectual property rights for computer services,"Science, technology and digital society",0.107143,Economy and national accounts,0.098574,0.008569,low,tfidf_and_keywords,computer,"Best profile: Science, technology and digital society; score=0.1071; margin=0.0086; keywords=computer","Science, technology and digital society",yes,
74,Individuals using the internet for looking for a job or sending a job application,individuals using the internet for looking for a job or sending a job application,"Science, technology and digital society",0.106356,Labour market,0.108643,-0.002287,high,rule_override_and_tfidf,internet,"Best profile: Science, technology and digital society; score=0.1064; margin=-0.0023; override_rules=internet; keywords=internet","Science, technology and digital society",yes,
75,Structural information,structural information,"Science, technology and digital society",0.090542,"Business, industry and trade",0.065869,0.024673,low,tfidf,,"Best profile: Science, technology and digital society; score=0.0905; margin=0.0247","Science, technology and digital society",yes,
76,"Nights spent, total","nights spent, total",Tourism,0.556898,Housing and construction,0.0,0.556898,high,rule_override_and_tfidf,nights spent,Best profile: Tourism; score=0.5569; margin=0.5569; override_rules=nights spent; keywords=nights spent; strong_keywords=nights spent,Tourism,yes,
77,Participation in tourism for personal purposes - % of total population,participation in tourism for personal purposes - % of total population,Tourism,0.175816,Demography and population,0.109607,0.066209,high,rule_override_and_tfidf,tourism,Best profile: Tourism; score=0.1758; margin=0.0662; override_rules=tourism; keywords=tourism,Tourism,yes,
78,Arrivals of residents,arrivals of residents,Tourism,0.089898,Housing and construction,0.0,0.089898,medium,tfidf,,Best profile: Tourism; score=0.0899; margin=0.0899,Tourism,yes,
79,Bed-days,bed-days,Tourism,0.083913,Health,0.04746,0.036453,low,tfidf,,Best profile: Tourism; score=0.0839; margin=0.0365,Tourism,yes,
80,Arrivals of tourists at the border,arrivals of tourists at the border,Tourism,0.062345,Housing and construction,0.0,0.062345,high,rule_override_and_tfidf,,"Best profile: Tourism; score=0.0623; margin=0.0623; override_rules=tourism, tourist",Tourism,yes,
81,Rail equipment number of locomotives and passenger railways vehicles,rail equipment number of locomotives and passenger railways vehicles,Transport and mobility,0.253574,Housing and construction,0.0,0.253574,high,rule_override_and_tfidf,passenger|rail,"Best profile: Transport and mobility; score=0.2536; margin=0.2536; override_rules=railway; keywords=passenger, rail",Transport and mobility,yes,
82,Rail accidents by type of accident,rail accidents by type of accident,Transport and mobility,0.208242,"Crime, justice and safety",0.160403,0.047839,low,tfidf_and_keywords,rail,Best profile: Transport and mobility; score=0.2082; margin=0.0478; keywords=rail,Transport and mobility,yes,
83,Road equipment number of road vehicles by age,road equipment number of road vehicles by age,Transport and mobility,0.172089,"Crime, justice and safety",0.031685,0.140404,medium,tfidf_and_keywords,road,Best profile: Transport and mobility; score=0.1721; margin=0.1404; keywords=road,Transport and mobility,yes,
84,Aviation and airport enterprises,aviation and airport enterprises,Transport and mobility,0.132002,"Business, industry and trade",0.018064,0.113937,medium,tfidf_and_keywords,airport,Best profile: Transport and mobility; score=0.1320; margin=0.1139; keywords=airport,Transport and mobility,yes,
85,Road equipment new registrations by categories,road equipment new registrations by categories,Transport and mobility,0.120017,"Crime, justice and safety",0.018373,0.101644,medium,tfidf_and_keywords,road,Best profile: Transport and mobility; score=0.1200; margin=0.1016; keywords=road,Transport and mobility,yes,
